datetime,value
2018-09-03,205.11089842966012
2018-09-04,200.13174325376727
2018-09-05,195.73222158631532
2018-09-06,192.54768823839382
2018-09-07,204.74771455196873
2018-09-08,207.17068332065614
2018-09-09,203.1392198452338
2018-09-10,201.50790412026183
2018-09-11,194.68858364508066
2018-09-12,179.6705604150362
2018-09-13,167.4282687036923
2018-09-14,173.74176535249626
2018-09-15,173.68091901435983
2018-09-16,172.51947303382974
2018-09-17,177.63432733227557
2018-09-18,175.7167908658143
2018-09-19,180.31170407160758
2018-09-20,187.93454600710314
2018-09-21,191.95386018612317
2018-09-22,191.41577410764995
2018-09-23,186.671909778071
2018-09-24,186.2767282774412
2018-09-25,188.04937111210072
2018-09-26,189.96932780731484
2018-09-27,191.45012256680502
2018-09-28,172.0543755675047
2018-09-29,153.61929662959196
