"# Reference points along X2 pathway, 
#
# distance is distance from golden gate in kilometers
# x and y are in meters UTM zone 10 (EPSG 26910)
# path is whether the X2 path is traced on the 'sac' or 'sjr' or 'bay'.",,,,
point,path,distance,x,y
388,bay,7760,552085.0879,4190179.761
389,bay,7780,552088.5161,4190199.464
390,bay,7800,552091.6506,4190219.217
391,bay,7820,552094.505,4190239.012
392,bay,7840,552097.0687,4190258.847
393,bay,7860,552099.3654,4190278.714
394,bay,7880,552101.4187,4190298.608
395,bay,7900,552103.2392,4190318.525
396,bay,7920,552104.839,4190338.46
397,bay,7940,552106.2295,4190358.412
398,bay,7960,552107.4217,4190378.376
399,bay,7980,552108.3881,4190398.353
400,bay,8000,552109.1586,4190418.338
401,bay,8020,552109.7602,4190438.328
402,bay,8040,552110.2028,4190458.323
403,bay,8060,552110.4938,4190478.321
404,bay,8080,552110.5793,4190498.321
405,bay,8100,552110.5322,4190518.321
406,bay,8120,552110.361,4190538.32
407,bay,8140,552110.0578,4190558.317
408,bay,8160,552109.5905,4190578.312
409,bay,8180,552109.0246,4190598.304
410,bay,8200,552108.3671,4190618.293
411,bay,8220,552107.5519,4190638.276
412,bay,8240,552106.6592,4190658.256
413,bay,8260,552105.6929,4190678.233
414,bay,8280,552104.5931,4190698.202
415,bay,8300,552103.3946,4190718.166
416,bay,8320,552102.0074,4190738.118
417,bay,8340,552100.2181,4190758.037
418,bay,8360,552098.1765,4190777.932
419,bay,8380,552095.8907,4190797.8
420,bay,8400,552093.2622,4190817.627
421,bay,8420,552090.3465,4190837.412
422,bay,8440,552087.2134,4190857.165
423,bay,8460,552083.8085,4190876.873
424,bay,8480,552080.0945,4190896.524
425,bay,8500,552076.1907,4190916.139
426,bay,8520,552072.0542,4190935.706
427,bay,8540,552067.6203,4190955.208
428,bay,8560,552063.0236,4190974.672
429,bay,8580,552058.2032,4190994.083
430,bay,8600,552053.1274,4191013.427
431,bay,8620,552047.9154,4191032.736
432,bay,8640,552042.46,4191051.977
433,bay,8660,552036.8197,4191071.165
434,bay,8680,552031.0654,4191090.319
435,bay,8700,552025.0279,4191109.386
436,bay,8720,552018.8976,4191128.423
437,bay,8740,552012.5837,4191147.4
438,bay,8760,552006.105,4191166.321
439,bay,8780,551999.5303,4191185.21
440,bay,8800,551992.7441,4191204.023
441,bay,8820,551985.8698,4191222.804
442,bay,8840,551978.847,4191241.531
443,bay,8860,551971.6895,4191260.206
444,bay,8880,551964.4649,4191278.856
445,bay,8900,551957.0505,4191297.43
446,bay,8920,551949.5854,4191315.985
447,bay,8940,551941.99,4191334.486
448,bay,8960,551934.3087,4191352.952
449,bay,8980,551926.5447,4191371.384
450,bay,9000,551918.6732,4191389.769
451,bay,9020,551910.7522,4191408.134
452,bay,9040,551902.7157,4191426.448
453,bay,9060,551894.6498,4191444.75
454,bay,9080,551886.4442,4191462.989
455,bay,9100,551878.2099,4191481.215
456,bay,9120,551869.9756,4191499.441
457,bay,9140,551861.6515,4191517.626
458,bay,9160,551853.2427,4191535.773
459,bay,9180,551844.834,4191553.919
460,bay,9200,551836.4252,4191572.066
461,bay,9220,551827.9133,4191590.164
462,bay,9240,551819.3806,4191608.252
463,bay,9260,551810.8478,4191626.341
464,bay,9280,551802.3045,4191644.424
465,bay,9300,551793.7136,4191662.485
466,bay,9320,551785.1227,4191680.546
467,bay,9340,551776.5318,4191698.607
468,bay,9360,551767.9409,4191716.668
469,bay,9380,551759.35,4191734.729
470,bay,9400,551750.7591,4191752.79
471,bay,9420,551742.1682,4191770.851
472,bay,9440,551733.5773,4191788.911
