point,route,distance,x,y
3510,bay,70200,591449.0819,591449.0819
3511,bay,70220,591468.0256,591468.0256
3512,bay,70240,591486.9655,591486.9655
3513,bay,70260,591505.8472,591505.8472
3514,bay,70280,591524.7288,591524.7288
3515,bay,70300,591543.574,591543.574
3516,bay,70320,591562.4091,591562.4091
3517,bay,70340,591581.2442,591581.2442
3518,bay,70360,591600.0652,591600.0652
3519,bay,70380,591618.8679,591618.8679
3520,bay,70400,591637.6706,591637.6706
3521,bay,70420,591656.4598,591656.4598
3522,bay,70440,591675.2246,591675.2246
3523,bay,70460,591693.9893,591693.9893
3524,bay,70480,591712.7346,591712.7346
3525,bay,70500,591731.4563,591731.4563
3526,bay,70520,591750.1779,591750.1779
3527,bay,70540,591768.8663,591768.8663
3528,bay,70560,591787.5398,591787.5398
3529,bay,70580,591806.2121,591806.2121
3530,bay,70600,591824.8322,591824.8322
3531,bay,70620,591843.4524,591843.4524
3532,bay,70640,591862.0466,591862.0466
3533,bay,70660,591880.6087,591880.6087
3534,bay,70680,591899.1708,591899.1708
3535,bay,70700,591917.6728,591917.6728
3536,bay,70720,591936.172,591936.172
3537,bay,70740,591954.6349,591954.6349
3538,bay,70760,591973.0659,591973.0659
3539,bay,70780,591991.4864,591991.4864
3540,bay,70800,592009.8437,592009.8437
3541,bay,70820,592028.201,592028.201
3542,bay,70840,592046.4947,592046.4947
3543,bay,70860,592064.7732,592064.7732
3544,bay,70880,592083.0077,592083.0077
3545,bay,70900,592101.2021,592101.2021
3546,bay,70920,592119.3712,592119.3712
3547,bay,70940,592137.4762,592137.4762
3548,bay,70960,592155.5732,592155.5732
3549,bay,70980,592173.5833,592173.5833
3550,bay,71000,592191.5934,592191.5934
3551,bay,71020,592209.5106,592209.5106
3552,bay,71040,592227.4202,592227.4202
3553,bay,71060,592245.245,592245.245
3554,bay,71080,592263.0484,592263.0484
3555,bay,71100,592280.762,592280.762
3556,bay,71120,592298.3743,592298.3743
3557,bay,71140,592315.9043,592315.9043
3558,bay,71160,592333.3335,592333.3335
3559,bay,71180,592350.7627,592350.7627
3560,bay,71200,592368.192,592368.192
3561,bay,71220,592385.6212,592385.6212
3562,bay,71240,592403.0997,592403.0997
3563,bay,71260,592420.6336,592420.6336
3564,bay,71280,592438.2481,592438.2481
3565,bay,71300,592455.9807,592455.9807
3566,bay,71320,592473.8327,592473.8327
3567,bay,71340,592491.7454,592491.7454
3568,bay,71360,592509.7108,592509.7108
3569,bay,71380,592527.7355,592527.7355
3570,bay,71400,592545.8186,592545.8186
3571,bay,71420,592563.9335,592563.9335
3572,bay,71440,592582.091,592582.091
3573,bay,71460,592600.2869,592600.2869
3574,bay,71480,592618.4985,592618.4985
3575,bay,71500,592636.7646,592636.7646
3576,bay,71520,592655.0307,592655.0307
3577,bay,71540,592673.2968,592673.2968
3578,bay,71560,592691.563,592691.563
3579,bay,71580,592709.8613,592709.8613
3580,bay,71600,592728.1726,592728.1726
3581,bay,71620,592746.5324,592746.5324
3582,bay,71640,592764.905,592764.905
3583,bay,71660,592783.3117,592783.3117
3584,bay,71680,592801.7416,592801.7416
3585,bay,71700,592820.1933,592820.1933
3586,bay,71720,592838.692,592838.692
3587,bay,71740,592857.2077,592857.2077
3588,bay,71760,592875.7235,592875.7235
3589,bay,71780,592894.2464,592894.2464
3590,bay,71800,592912.841,592912.841
3591,bay,71820,592931.4357,592931.4357
3592,bay,71840,592950.0303,592950.0303
3593,bay,71860,592968.6482,592968.6482
3594,bay,71880,592987.3143,592987.3143
3595,bay,71900,593005.9804,593005.9804
3596,bay,71920,593024.6465,593024.6465
3597,bay,71940,593043.3401,593043.3401
3598,bay,71960,593062.0703,593062.0703
3599,bay,71980,593080.8005,593080.8005
3600,bay,72000,593099.5307,593099.5307
3601,bay,72020,593118.2812,593118.2812
3602,bay,72040,593137.0681,593137.0681
3603,bay,72060,593155.8551,593155.8551
3604,bay,72080,593174.6421,593174.6421
3605,bay,72100,593193.4321,593193.4321
3606,bay,72120,593212.2683,593212.2683
3607,bay,72140,593231.1045,593231.1045
3608,bay,72160,593249.9406,593249.9406
3609,bay,72180,593268.7768,593268.7768
3610,bay,72200,593287.6371,593287.6371
3611,bay,72220,593306.525,593306.525
3612,bay,72240,593325.4129,593325.4129
3613,bay,72260,593344.3008,593344.3008
3614,bay,72280,593363.2185,593363.2185
3615,bay,72300,593382.1627,593382.1627
3616,bay,72320,593401.1069,593401.1069
3617,bay,72340,593420.0512,593420.0512
3618,bay,72360,593439.0186,593439.0186
3619,bay,72380,593458.014,593458.014
3620,bay,72400,593477.0094,593477.0094
3621,bay,72420,593496.0047,593496.0047
3622,bay,72440,593515.0104,593515.0104
3623,bay,72460,593534.0517,593534.0517
3624,bay,72480,593553.093,593553.093
3625,bay,72500,593572.1343,593572.1343
3626,bay,72520,593591.1756,593591.1756
3627,bay,72540,593610.2462,593610.2462
3628,bay,72560,593629.3241,593629.3241
3629,bay,72580,593648.4075,593648.4075
3630,bay,72600,593667.5158,593667.5158
3631,bay,72620,593686.6241,593686.6241
3632,bay,72640,593705.7474,593705.7474
3633,bay,72660,593724.8847,593724.8847
3634,bay,72680,593744.0219,593744.0219
