"# Reference points along X2 pathway, 
#
# distance is distance from golden gate in kilometers
# x and y are in meters UTM zone 10 (EPSG 26910)
# path is whether the X2 path is traced on the 'sac' or 'sjr' or 'bay'.",,,,
point,path,distance,x,y
220,bay,4400,549800.7009,4187810.6429
221,bay,4420,549817.0503,4187822.1575
222,bay,4440,549832.9022,4187834.3490
223,bay,4460,549848.3281,4187847.0758
224,bay,4480,549863.3749,4187860.2494
225,bay,4500,549878.0540,4187873.8326
226,bay,4520,549892.4755,4187887.6890
227,bay,4540,549906.6533,4187901.7947
228,bay,4560,549920.7466,4187915.9853
229,bay,4580,549934.7248,4187930.2895
230,bay,4600,549948.7030,4187944.5937
231,bay,4620,549962.6812,4187958.8979
232,bay,4640,549976.7439,4187973.1185
233,bay,4660,549990.9850,4187987.1604
234,bay,4680,550005.4515,4188000.9695
235,bay,4700,550020.1891,4188014.4887
236,bay,4720,550035.2540,4188027.6422
237,bay,4740,550050.7366,4188040.3011
238,bay,4760,550066.4730,4188052.6446
239,bay,4780,550082.4057,4188064.7332
240,bay,4800,550098.4842,4188076.6267
241,bay,4820,550114.6969,4188088.3368
242,bay,4840,550131.0615,4188099.8346
243,bay,4860,550147.5783,4188111.1121
244,bay,4880,550164.1946,4188122.2421
245,bay,4900,550180.9058,4188133.2301
246,bay,4920,550197.7645,4188143.9903
247,bay,4940,550214.6911,4188154.6426
248,bay,4960,550231.6925,4188165.1762
249,bay,4980,550248.7934,4188175.5470
250,bay,5000,550265.9581,4188185.8118
251,bay,5020,550283.1767,4188195.9859
252,bay,5040,550300.4620,4188206.0467
253,bay,5060,550317.7979,4188216.0198
254,bay,5080,550335.1655,4188225.9377
255,bay,5100,550352.5972,4188235.7425
256,bay,5120,550370.0290,4188245.5473
257,bay,5140,550387.4726,4188255.3308
258,bay,5160,550404.9544,4188265.0462
259,bay,5180,550422.4362,4188274.7615
260,bay,5200,550439.9179,4188284.4769
261,bay,5220,550457.3997,4188294.1922
262,bay,5240,550474.8814,4188303.9076
263,bay,5260,550492.3632,4188313.6229
