FID,AREA,PERIMETER,HYDRO_POLY,HYDRO_PO_1,HYDRO_24K_,TYPE,HNAME,Shape_Leng,Shape_Area,ORIG_FID,POINT_X,POINT_Y
28,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,608715.911385999990000,4240374.371240000200000
29,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,608718.786379000060000,4240273.371480000200000
30,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,608724.036670999950000,4240219.371670000300000
31,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,608728.224366000040000,4240138.372039999800000
32,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,608734.599386999970000,4240116.372019999700000
33,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,608747.161811999980000,4240091.372139999600000
34,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,608779.599558999990000,4240045.372510000100000
35,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,608913.850818000040000,4239876.371310000300000
36,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,608966.601798000050000,4239802.371460000100000
37,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,608980.289290999990000,4239798.371439999900000
38,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,609000.039312000040000,4239801.371080000000000
39,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,609016.852015999960000,4239794.370769999900000
40,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,609039.539815000030000,4239795.370559999700000
41,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,609060.852500000040000,4239789.370729999600000
42,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,609082.227813999980000,4239788.370229999500000
43,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,609107.978129999940000,4239782.370260000200000
44,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,609132.415587999970000,4239781.370269999800000
45,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,609164.353494000040000,4239772.369359999900000
46,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,609206.916391000040000,4239772.368999999900000
47,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,609206.666509000000000,4239785.369040000300000
48,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,609247.728653999980000,4239783.369009999600000
49,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,609342.478249000040000,4239740.368169999700000
50,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,609386.790538999950000,4239713.368280000100000
51,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,609423.790071000000000,4239676.367990000200000
52,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,609439.290303000020000,4239655.368429999800000
53,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,609451.852686000060000,4239624.368370000300000
54,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,609466.165079000060000,4239579.368200000400000
55,73544304.000000000000000,1033340.000000000000000,791,797,798,MR,SACRAMENTO RIVER,2.448454165060000,0.003476418248070,0,609481.727317000040000,4239551.368529999600000
